relation,p,n_pairs
pos,0.005360073901137373,1598
neg,0.001127712511399779,1077
all,0.0057413066408651195,886
some,0.005015465369354368,712
few,0.001127712511399779,1077
evidence,0.006990192363700005,798
no_evidence_pos,0.003650888588221145,470
no_evidence_neg,0.0010645621058986286,982
implied_category,0.002517410344992143,85
typical_of_concept,0.01492200256243421,91
typical_of_property,0.007904005928949659,180
affording_activity,0.00626589774922519,119
afforded_usual,0.0021171847777520553,31
afforded_unusual,0.001059224049046711,41
variability_limited,0.005446816951168356,451
variability_open,0.004410296292640097,321
rare,0.00242614989379296,98
unusual,0.0012375085363256345,278
impossible,0.0005561122288231363,409
creative,0.002378788281931628,68
