relation,prop-specific,n_pairs
pos,0.006108355796730466,1598
neg,0.0,1077
all,0.011577323991904583,886
some,0.0031213858846005117,712
few,0.0,1077
evidence,0.007471022148450128,798
no_evidence_pos,0.004300454982000509,470
no_evidence_neg,0.0,982
implied_category,0.00847488680852062,85
typical_of_concept,0.007032772333323343,91
typical_of_property,0.01920752419146529,180
affording_activity,0.017562217194570136,119
afforded_usual,0.005736800630417652,31
afforded_unusual,0.0012129387099978565,41
variability_limited,0.002590140074660389,451
variability_open,0.0037040152171943946,321
rare,0.0,98
unusual,0.0,278
impossible,0.0,409
creative,0.0,68
