relation,p,n_pairs
pos,0.002755961127695207,1598
neg,0.0,1077
all,0.005081080134038147,886
some,0.0014621362492023087,712
few,0.0,1077
evidence,0.0041189609528756626,798
no_evidence_pos,0.001300249069179231,470
no_evidence_neg,0.0,982
implied_category,0.0040193688081238904,85
typical_of_concept,0.00425909815861969,91
typical_of_property,0.007932287757178164,180
affording_activity,0.0066201409389950545,119
afforded_usual,0.004442382682498401,31
afforded_unusual,0.001201923076923077,41
variability_limited,0.001851239683670672,451
variability_open,0.0010717802791158325,321
rare,0.0,98
unusual,0.0,278
impossible,0.0,409
creative,0.0,68
