relation,non-specific,n_pairs
pos,0.0058885800585395266,1598
neg,0.0016099658543002936,1077
all,0.006788844641370585,886
some,0.0051124200084682325,712
few,0.0016099658543002936,1077
evidence,0.0066030989726846715,798
no_evidence_pos,0.0053782614646128895,470
no_evidence_neg,0.0015666469795515546,982
implied_category,0.005263388527899566,85
typical_of_concept,0.00531692133183139,91
typical_of_property,0.007138590833792037,180
affording_activity,0.009080738846455914,119
afforded_usual,0.004361869757743703,31
afforded_unusual,0.0024173475915368558,41
variability_limited,0.004738539491318866,451
variability_open,0.0057294914484588046,321
rare,0.0030284185033214346,98
unusual,0.002083901209189364,278
impossible,0.0011069652005098688,409
creative,0.0018125784562522018,68
