,giga_corpus,wiki_corpus,googlenews
learned, fly juicy lay_eggs square sweet swim used_in_cooking wheels wings,dangerous  fly juicy lay_eggs made_of_wood square swim used_in_cooking wheels wings yellow, fly juicy lay_eggs square sweet used_in_cooking wheels wings
not learned,black blue cold dangerous green hot made_of_wood red roll round warm yellow,black blue cold green hot red roll round sweet warm,black blue cold dangerous green hot made_of_wood red roll round swim warm yellow
