relation,prop-specific,n_pairs
pos,0.006108355796730466,1598
neg,0.0,1077
all,0.011577323991904583,886
some,0.0031213858846005117,712
few,0.0,1077
evidence,0.007471022148450128,798
no_evidence_pos,0.004300454982000509,470
no_evidence_neg,0.0,982
implied_category,0.0028760388264465406,14
typical_of_concept,0.006041285496353435,3
affording_activity,0.012788128398682316,4
afforded_usual,0.07142857142857142,2
afforded_unusual,0.001262633407653044,19
variability_limited,0.0030226602752298467,104
variability_open,0.004190822169133417,171
rare,0.0,18
unusual,0.0,75
impossible,0.0,265
creative,0.0,21
