relation,prop-specific,n_pairs
pos,0.005224394598467988,1766
neg,0.0013311431332611544,1186
all,0.005587411847009834,1021
some,0.004976567107421167,745
few,0.0013311431332611544,1186
evidence,0.0062586787673579595,894
no_evidence_pos,0.00424630621605184,502
no_evidence_neg,0.0011800792439259076,1082
implied_category,0.003712663100105569,16
typical_of_concept,0.004166011251744534,4
affording_activity,0.009069528834544642,4
afforded_usual,0.0,3
afforded_unusual,0.0012027592003005815,20
variability_limited,0.005319500320295825,112
variability_open,0.0037147417767107818,172
rare,0.003010155181106132,19
unusual,0.0011675798195819142,81
impossible,0.000630037608381465,307
creative,0.0007682398566315313,23
