relation,non-specific,n_pairs
pos,0.0064660263730441855,1766
neg,0.001746148013847098,1186
all,0.007584585994312964,1021
some,0.005259297490471459,745
few,0.001746148013847098,1186
evidence,0.007031107219987816,894
no_evidence_pos,0.005686802012418481,502
no_evidence_neg,0.0016642498212994417,1082
implied_category,0.00595798376571933,16
typical_of_concept,0.018652178756495056,4
affording_activity,0.012168655216415919,4
afforded_usual,0.008348195562703985,3
afforded_unusual,0.002989023181515672,20
variability_limited,0.005255144018980086,112
variability_open,0.00465425487166579,172
rare,0.003369044507142296,19
unusual,0.002035482196497858,81
impossible,0.0013633685793113955,307
creative,0.001864632830099514,23
