relation,prop-specific,n_pairs
pos,0.004336164906692969,1766
neg,0.0,1186
all,0.00841543513957307,1021
some,0.002891063258435612,745
few,0.0,1186
evidence,0.005746137855899336,894
no_evidence_pos,0.002620851728068802,502
no_evidence_neg,0.0,1082
implied_category,0.004450771550742886,106
typical_of_concept,0.006229631021076704,94
typical_of_property,0.01521162393360432,215
affording_activity,0.018950327520546345,130
afforded_usual,0.0,54
afforded_unusual,0.001412184438697041,42
variability_limited,0.003468211197275336,485
variability_open,0.0026452524920807965,323
rare,0.0,110
unusual,0.0,301
impossible,0.0,464
creative,0.0,69
