relation,non-specific,n_pairs
pos,0.10607979599458742,1766
neg,0.05921691960657767,1186
all,0.1575682382133995,1021
some,0.07767775068290919,745
few,0.05921691960657767,1186
evidence,0.12729547776474665,894
no_evidence_pos,0.07686863988560534,502
no_evidence_neg,0.0595038050185109,1082
implied_category,0.14790964463805353,106
typical_of_concept,0.08754409466823268,94
typical_of_property,0.1956214064573198,215
affording_activity,0.16118468740561764,130
afforded_usual,0.3333333333333333,54
afforded_unusual,0.038059834374998464,42
variability_limited,0.08166666666666668,485
variability_open,0.07024260036884702,323
rare,0.05340406977299862,110
unusual,0.05510149968969557,301
impossible,0.06765573145853576,464
creative,0.05173951828724353,69
