relation,p,n_pairs
pos,0.005525813500872725,1766
neg,0.001140747088849409,1186
all,0.005850867655098105,1021
some,0.00526433237714365,745
few,0.001140747088849409,1186
evidence,0.0073295929424855005,894
no_evidence_pos,0.004169175268045063,502
no_evidence_neg,0.001030882661634484,1082
implied_category,0.0025444907984285767,106
typical_of_concept,0.010815877430723882,94
typical_of_property,0.0054887199295226285,215
affording_activity,0.007418437184229359,130
afforded_usual,0.0008777344114792753,54
afforded_unusual,0.0014983251120452151,42
variability_limited,0.006841813333185047,485
variability_open,0.004473073670301707,323
rare,0.002499998071427924,110
unusual,0.0011404845523167585,301
impossible,0.0006400354423429228,464
creative,0.002702673143947609,69
