relation,l,n_pairs
pos,0.005362913622197211,1766
neg,0.0013671302892012292,1186
all,0.0067115660566416605,1021
some,0.00393726442616595,745
few,0.0013671302892012292,1186
evidence,0.0052193828820364,894
no_evidence_pos,0.005560634674119586,502
no_evidence_neg,0.0012765263334866142,1082
implied_category,0.004388065415048891,106
typical_of_concept,0.007152592799141497,94
typical_of_property,0.0070090857877020225,215
affording_activity,0.006690694316486111,130
afforded_usual,0.0025214809518851453,54
afforded_unusual,0.014853753737268901,42
variability_limited,0.003403058159391761,485
variability_open,0.004470550907864728,323
rare,0.0027752263060470224,110
unusual,0.0013350301619134849,301
impossible,0.0006955610625087799,464
creative,0.003301161169514037,69
