relation,prop-specific,n_pairs
pos,0.011398973956726923,1766
neg,0.0029541174620483232,1186
all,0.013454415541292765,1021
some,0.009075902752783586,745
few,0.0029541174620483232,1186
evidence,0.01398817160044005,894
no_evidence_pos,0.008869747518702977,502
no_evidence_neg,0.002695197539779901,1082
implied_category,0.008487493267570482,106
typical_of_concept,0.019282593033488272,94
typical_of_property,0.01314233091524129,215
affording_activity,0.017863392270179388,130
afforded_usual,0.003510937645917101,54
afforded_unusual,0.0027000005687000724,42
variability_limited,0.012377109060401159,485
variability_open,0.008228218390288932,323
rare,0.004355749595113165,110
unusual,0.0036944900340255783,301
impossible,0.0017797158005954964,464
creative,0.004274323277203657,69
